,Name,Cluster,Distance
154,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_73.png,11,2256.58
155,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_197.png,3,3624.16
156,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_253.png,11,1498.44
157,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_233.png,5,9110.15
158,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_24.png,3,7034.73
159,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_92.png,9,819.41
160,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_303.png,5,2516.54
161,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_205.png,5,1725.66
162,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_252.png,11,1421.83
163,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_225.png,6,5453.76
164,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_261.png,8,3660.81
165,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_260.png,5,3536.29
166,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_278.png,8,2435.63
167,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_34.png,5,2530.3
168,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_304.png,5,3930.38
169,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_298.png,10,3125.91
170,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_93.png,10,3633.43
171,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_17.png,5,11084.85
172,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_22.png,8,6046.4
173,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_201.png,6,2080.7
174,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_240.png,5,2651.62
175,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_105.png,0,2773.29
176,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_161.png,7,2240.7
177,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_30.png,12,6010.07
178,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_124.png,11,4753.0
179,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_130.png,9,2861.16
180,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_223.png,11,2599.8
181,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_47.png,5,2917.86
182,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_175.png,11,1734.24
183,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_79.png,8,1983.21
184,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_49.png,8,1932.87
185,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_115.png,5,2489.24
186,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_276.png,11,2833.37
187,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_210.png,11,1724.45
188,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_141.png,0,2013.98
189,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_106.png,0,3525.71
190,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_13.png,5,9486.28
191,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_18.png,5,8633.68
192,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_166.png,8,3163.89
193,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_78.png,5,11217.63
194,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_108.png,8,2746.63
195,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_1.png,5,1898.65
196,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_180.png,10,4895.84
197,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_245.png,12,3110.8
198,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_192.png,12,4161.29
199,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_263.png,5,3562.39
